Speciescode,formula,TL2FL,a,acm,a2,aTL,b,Source
AFLA,0.0004*(fish_tl)**3.4302,1,0.0004,,0.0004,0.0004,3.4302,*Fishbase
AAFF,0.00000886*(fish_tl*10)**3.03574,1,0.00000886,0.00961997,0.00961997,0.00961997,3.03574,*Leaetal1999
ACAL,0.0079*(fish_tl)**3.03748,1,0.0079,,0.0079,0.0079,3.03748,*Fishbase
ADAV,0.0168*(fish_tl)**2.9856,1,0.0168,,0.0168,0.0168,2.9856,*Fishbase
AHOL,0.0180*(fish_tl)**2.7566,1,0.018,,0.018,0.018,2.7566,*Fishbase
AOCE,0.0038*(fish_tl)**3.1581,1,0.0038,,0.0038,0.0038,3.1581,*Fishbase
ASAN,0.0062*(fish_tl)**3.249,1,0.0062,,0.0062,0.0062,3.249,*Fishbase
ATHE,0.0004*(fish_tl)**2.519,1,0.0004,,0.0004,0.0004,2.519,*Leaetal1999
AVUL,0.0188*(fish_tl*0.526)**3.4302,0.526,0.0188,,0.0188,0.002075311,3.4302,"*Fishbase,convertedTLtoFL"
BAITBALL,0.0076*(fish_tl)**3.150,1,0.0076,,0.0076,0.0076,3.15,*FishbaseforSardines
BFRE,0.0250*(fish_tl)**3.0,1,0.025,,0.025,0.025,3,*Fishbaseforfamily
BOTH,0.000038442*(fish_tl*10)**3.25755,1,0.000038442,0.069559424,0.069559424,0.069559424,3.25755,*Leaetal1999
BPOL,0.0268*(fish_tl)**2.8983,1,0.0268,,0.0268,0.0268,2.8983,*Fishbase
BRAY,0.0089*(fish_tl)**3.1133,1,0.0089,,0.0089,0.0089,3.1133,*Fishbase
CAGG,0.00407*(fish_tl)**3.45,1,0.00407,,0.00407,0.00407,3.45,"*Leaetal1999,TLincm"
CFAL,0.0256*(fish_tl)**3.006,1,0.0256,,0.0256,0.0256,3.006,*Fishbase
CITH,0.000003934*(fish_tl/1.12*10)**3.25755,0.892857143,0.000003934,0.007118432,0.007118432,0.004921009,3.25755,"*Chamberlin1979,W=g,SL=mm"
CLUP,0.0076*(fish_tl)**3.150,1,0.0076,,0.0076,0.0076,3.15,*FishbaseforSardines
CLIN,0.00310456*(fish_tl)**3.243,1,0.00310456,,0.00310456,0.00310456,3.243,"*Steipen1986,forHROS,assumeTLincm"
CNIC,0.01*(fish_tl)**3.0247,1,0.01,,0.01,0.01,3.0247,*Fishbase
RNIC,0.01*(fish_tl)**3.0248,1,0.01,,0.01,0.01,3.0248,*Fishbase
COTT,0.00514*(fish_tl)**3.31,1,0.00514,,0.00514,0.00514,3.31,"*Bayer1985,forStaghornSculpin"
CPRI,0.00000304*(fish_tl*10)**3.22,1,0.00000304,0.005045144,0.005045144,0.005045144,3.22,*Unknownref
CPUG,0.00514*(fish_tl)**3.31,1,0.00514,,0.00514,0.00514,3.31,"*Bayer1985,forStaghornSculpin"
CPUN,0.0000185*(fish_tl*10/1.213)**3.09,0.824402308,0.0000185,0.022759972,0.022759972,0.012532619,3.09,"*Quast1968b,SL=mm,L-LfromfishbaseforGaribaldi"
CSAT,0.0109*(fish_tl)**3.024,1,0.0109,,0.0109,0.0109,3.024,"*Leaetal1999,TLincm"
CSOR,0.000003934*(fish_tl/1.12*10)**3.25755,0.892857143,0.000003934,0.007118432,0.007118432,0.004921009,3.25755,"*Chamberlin1979,W=g,SL=mm"
CSTI,0.0000019188*(fish_tl/1.12*10)**3.44488,0.892857143,1.9188E-06,0.005344532,0.005344532,0.003617092,3.44488,"*Leaetal1999,W=g,SL=mm"
CVEN,0.0027*(fish_tl)**3.0477,1,0.0027,,0.0027,0.0027,3.0477,"*Fishbase,TLincm"
DVAC,0.208462*(fish_tl/2.54)**3.039,0.393700787,0.208462,,0.208462,0.012266968,3.039,"*DeMartinietal1994,TLinches,convertedtocm,correctedvaluefromerrorinLHDB"
RVAC,0.208462*(fish_tl/2.54)**3.039,0.393700787,0.208462,,0.208462,0.012266968,3.039,"*DeMartinietal1994,TLinches,convertedtocm,correctedvaluefromerrorinLHDB"
EJAC,0.230156*(fish_tl/2.54)**3.137,0.393700787,0.230156,,0.230156,0.012361152,3.137,"*DeMartinietal1994,TLinches,convertedtocm,correctedvaluefromerrorinLHDB"
ELAT,0.000021*(fish_tl*0.925*10)**3.007,0.925,0.000021,0.021341223,0.021341223,0.016881362,3.007,"*Gnose1967,FLinmm"
EMBI,0.025*(fish_tl)**3.0,1,0.025,,0.025,0.025,3,*fishbase
EMOR,0.017*(fish_tl*0.853)**2.95,0.853,0.017,,0.017,0.010635271,2.95,"*fishbase,SL=cm"
GBY,0.00001299*(fish_tl*10)**3.077,1,0.00001299,0.015509905,0.015509905,0.015509905,3.077,"*usedSCAR,Leaetal1999"
GGAL,0.0008*(fish_tl)**3.350,1,0.0008,,0.0008,0.0008,3.35,*fishbase
GIBB,0.0095*(fish_tl)**3.0829,1,0.0095,,0.0095,0.0095,3.0829,*fishbase
GMOR,0.00000011*(fish_tl*10*0.992)**3.43,0.992,0.00000011,0.000296069,0.000296069,0.000288023,3.43,"*Quast1968,SL=mm"
GNIG,0.0000528*(fish_tl*10*0.851)**2.93,0.851,0.0000528,0.044940088,0.044940088,0.02801093,2.93,"*Quast1968,SL=mm"
HANA,0.000032*(fish_tl*10/1.179)**2.99467,0.848176421,0.000032,0.031609671,0.031609671,0.019304552,2.99467,"*Anderson1969,SL=mm,eq.forHARG"
HARG,0.000032*(fish_tl*10/1.179)**2.99467,0.848176421,0.000032,0.031609671,0.031609671,0.019304552,2.99467,"*Anderson1969,SL=mm"
HCAR,0.000002*(fish_tl*10*0.818)**3.56,0.818,0.000002,0.007261561,0.007261561,0.003551663,3.56,"*Quast1968,SL=mm"
HDEC,0.00000418*(fish_tl*10)**3.198,1,0.00000418,0.006594415,0.006594415,0.006594415,3.198,*Rothrock1973
HELL,0.00000783*(fish_tl*10)**3.131,1,0.00000783,0.010586728,0.010586728,0.010586728,3.131,"*WydoskiandBennett1973,formales"
HFRA,0.0027*(fish_tl)**3.0477,1,0.0027,,0.0027,0.0027,3.0477,"*Fishbaseforswellshark,noinfoonthisspporgenus"
HLAG,0.00000418*(fish_tl*10)**3.198,1,0.00000418,0.006594415,0.006594415,0.006594415,3.198,"*Rothrock1973,forkelpgreenlingHDEC"
HROS,0.00310456*(fish_tl)**3.243,1,0.00310456,,0.00310456,0.00310456,3.243,"*Steipen1986,assumeTL=cm"
HRUB,0.383276*(fish_tl/2.54)**3.077,0.393700787,0.383276,,0.383276,0.02176899,3.077,"*DeMartinietal1994,TLinches,convertedtocm,correctedvaluefromerrorinLHDB"
HSEM,0.0848392*(fish_tl/2.54)**3.412,0.393700787,0.0848392,,0.0848392,0.003526175,3.412,"*DeMartinietal1994,TLinches,convertedtocm,correctedvaluefromerrorinLHDB"
