"",".rownames","Surv.ifelse.log_density....min.species_siteside_year.log_density..na.rm...T...min.species_siteside_year.log_density..na.rm...T...log_density...log_density...min.species_siteside_year.log_density..na.rm...T...type....left..","factor.year.","factor.region.","years_mpa","fished","factor.trophic.group.","linf","vbk","mpa_applied","na_temp","na_vis","mean_temp_lag1","mean_temp_lag2","mean_temp_lag3","mean_temp_lag4",".fitted",".se.fit",".resid","observed"
"1","2", -4.889746e+00,"2000","ANA", 0,0,"benthic micro-invertivore",  12.870,0.63000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.712594,0.4255752, 4.8228475261,-4.889746e+00
"2","3",<-1.175018e+01,"2000","ANA", 0,0,"benthic macro-invertivore", 178.900,0.07725,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.848123,0.4346192,-0.9020549001,-1.175018e+01
"3","4",<-1.175018e+01,"2000","ANA", 0,0,"benthic micro-invertivore",  12.870,0.63000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.712594,0.4255752,-2.0375845354,-1.175018e+01
"4","5",<-1.175018e+01,"2000","ANA", 0,1,"benthic micro-invertivore",  77.874,0.23000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.849225,0.4953431,-2.9009534833,-1.175018e+01
"5","6",  1.293784e-01,"2000","ANA", 0,0,"planktivore",  21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.007885,0.4266594, 9.1372633104, 1.293784e-01
"6","7", -2.133715e+00,"2000","ANA", 0,0,"benthic micro-invertivore",  21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.847361,0.4176978, 7.7136463183,-2.133715e+00
"7","8",<-1.175018e+01,"2000","ANA", 0,0,"benthic micro-invertivore",  21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.847361,0.4176978,-1.9028166940,-1.175018e+01
"8","9",  1.615896e+00,"2000","ANA", 0,0,"herbivore",  28.400,0.41000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.065225,0.4457426, 8.6811213903, 1.615896e+00
"9","10",<-1.175018e+01,"2000","ANA", 0,0,"benthic micro-invertivore",  21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.847361,0.4176978,-1.9028166940,-1.175018e+01
"10","11",<-1.175018e+01,"2000","ANA", 0,0,"benthic macro-invertivore",1337.000,0.05900,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-19.792450,0.6323501, 8.0422719135,-1.175018e+01
"11","12", -6.813837e+00,"2000","ANA", 0,0,"benthic macro-invertivore",  94.400,0.31200,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.140562,0.4242861, 3.3267248787,-6.813837e+00
"12","13", -1.069656e+00,"2000","ANA", 0,0,"benthic micro-invertivore",  21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.847361,0.4176978, 8.7777052703,-1.069656e+00
"13","14", -2.863828e+00,"2000","ANA", 0,0,"benthic micro-invertivore",  21.310,0.52000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.803640,0.4184816, 6.9398119943,-2.863828e+00
"14","15",  7.200274e-01,"2000","ANA", 0,0,"herbivore",  28.400,0.70000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -6.996962,0.4451890, 7.7169890820, 7.200274e-01
"15","16", -2.189465e+00,"2000","ANA", 0,0,"planktivore",  21.310,0.52000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.964163,0.4306550, 6.7746978576,-2.189465e+00
"16","17",<-1.175018e+01,"2000","ANA", 0,0,"benthic micro-invertivore",  18.400,0.31968,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.828329,0.4189669,-1.9218489916,-1.175018e+01
"17","18",  8.186324e-01,"2000","ANA", 0,1,"piscivore",  69.800,0.06000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.099866,0.4836570,11.9184980992, 8.186324e-01
"18","19",<-1.175018e+01,"2000","ANA", 0,0,"benthic micro-invertivore",  20.200,0.42500,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.817433,0.4164653,-1.9327450831,-1.175018e+01
