"",".rownames","Surv.ifelse.log_density....min.species_siteside_year.log_density..na.rm...T...min.species_siteside_year.log_density..na.rm...T...log_density...log_density...min.species_siteside_year.log_density..na.rm...T...type....left..","factor.year.","factor.region.","years_mpa","fished","factor.trophic.group.","linf","vbk","mpa_applied","na_temp","na_vis","mean_temp_lag1","mean_temp_lag2","mean_temp_lag3","mean_temp_lag4",".fitted",".se.fit",".resid","observed"
"1","2", -4.889746e+00,"2000","ANA", 0,0,"benthic micro-invertivore", 12.870,0.63000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.483210,0.4234958, 5.5934636819,-4.889746e+00
"2","3",<-1.181616e+01,"2000","ANA", 0,0,"benthic macro-invertivore",178.900,0.07725,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-16.239276,0.4786815, 4.4231175510,-1.181616e+01
"3","4",<-1.181616e+01,"2000","ANA", 0,0,"benthic micro-invertivore", 12.870,0.63000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.483210,0.4234958,-1.3329487928,-1.181616e+01
"4","5",<-1.181616e+01,"2000","ANA", 0,1,"benthic micro-invertivore", 77.874,0.23000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.103831,0.4956305,-0.7123274619,-1.181616e+01
"5","6",  1.293784e-01,"2000","ANA", 0,0,"planktivore", 21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.512792,0.4238068, 8.6421706095, 1.293784e-01
"6","7", -2.133715e+00,"2000","ANA", 0,0,"benthic micro-invertivore", 21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.291928,0.4151585, 7.1582125102,-2.133715e+00
"7","8",<-1.181616e+01,"2000","ANA", 0,0,"benthic micro-invertivore", 21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.291928,0.4151585,-2.5242309152,-1.181616e+01
"8","9",  1.615896e+00,"2000","ANA", 0,0,"herbivore", 28.400,0.41000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -6.141446,0.4431882, 7.7573421046, 1.615896e+00
"9","10",<-1.181616e+01,"2000","ANA", 0,0,"benthic micro-invertivore", 21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.291928,0.4151585,-2.5242309152,-1.181616e+01
"10","11", -6.813837e+00,"2000","ANA", 0,0,"benthic macro-invertivore", 94.400,0.31200,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-12.379507,0.4308174, 5.5656696181,-6.813837e+00
"11","12", -1.069656e+00,"2000","ANA", 0,0,"benthic micro-invertivore", 21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.291928,0.4151585, 8.2222714622,-1.069656e+00
"12","13", -2.863828e+00,"2000","ANA", 0,0,"benthic micro-invertivore", 21.310,0.52000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.326552,0.4160675, 7.4627240872,-2.863828e+00
"13","15",  7.200274e-01,"2000","ANA", 0,0,"herbivore", 28.400,0.70000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.958044,0.4429541, 8.6780716062, 7.200274e-01
"14","16", -2.189465e+00,"2000","ANA", 0,0,"planktivore", 21.310,0.52000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.547416,0.4279741, 7.3579510576,-2.189465e+00
"15","17",<-1.181616e+01,"2000","ANA", 0,0,"benthic micro-invertivore", 18.400,0.31968,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.888157,0.4171777,-2.9280012214,-1.181616e+01
"16","20",  8.186324e-01,"2000","ANA", 0,1,"piscivore", 69.800,0.06000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.572495,0.4773654,12.3911272397, 8.186324e-01
"17","21",<-1.181616e+01,"2000","ANA", 0,0,"benthic micro-invertivore", 20.200,0.42500,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.661440,0.4136021,-2.1547184076,-1.181616e+01
"18","22",<-1.181616e+01,"2000","ANA", 0,0,"benthic macro-invertivore", 21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.037292,0.4263260,-3.7788662767,-1.181616e+01
"19","23", -4.757672e+00,"2000","ANA", 0,0,"benthic macro-invertivore", 21.790,0.35000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.037292,0.4263260, 3.2796201767,-4.757672e+00
"20","24",<-1.181616e+01,"2000","ANA", 0,1,"piscivore", 28.345,0.29500,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.429578,0.4749484,-1.3865809540,-1.181616e+01
"21","25",<-1.181616e+01,"2000","ANA", 0,1,"piscivore", 20.700,0.24500,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.634123,0.4749662,-2.1820355404,-1.181616e+01
"22","26",<-1.181616e+01,"2000","ANA", 0,1,"piscivore", 54.400,0.26000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.853887,0.4753862, 0.0377283202,-1.181616e+01
"23","27", -6.361875e+00,"2000","ANA", 0,1,"planktivore", 36.480,0.17500,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.369028,0.4900936, 1.0071531303,-6.361875e+00
"24","28", -3.440533e+00,"2000","ANA", 0,1,"benthic macro-invertivore", 33.220,0.24300,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.113847,0.4894519, 3.6733138950,-3.440533e+00
"25","29",<-1.181616e+01,"2000","ANA", 0,1,"piscivore", 30.600,0.23300,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.183447,0.4738326,-1.6327114153,-1.181616e+01
"26","30",<-1.181616e+01,"2000","ANA", 0,0,"planktivore", 19.900,0.50000,0,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.333191,0.4265579,-2.4829678058,-1.181616e+01
