"",".rownames","Surv.ifelse.log_density....min.species_siteside_year.log_density..na.rm...T...min.species_siteside_year.log_density..na.rm...T...log_density...log_density...min.species_siteside_year.log_density..na.rm...T...type....left..","factor.year.","factor.region.","years_mpa","fished","factor.trophic.group.","linf","vbk","mpa_applied","na_temp","na_vis","mean_temp_lag1","mean_temp_lag2","mean_temp_lag3","mean_temp_lag4",".fitted",".se.fit",".resid","observed"
"1","2", -4.889746e+00,"2000","ANA",23,0,"benthic micro-invertivore", 12.870,0.63000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.057918,0.4586439, 5.1681722403,-4.889746e+00
"2","3",<-1.181616e+01,"2000","ANA",23,0,"benthic macro-invertivore",178.900,0.07725,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-15.802049,0.5088194, 3.9858906246,-1.181616e+01
"3","4",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 12.870,0.63000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.057918,0.4586439,-1.7582402345,-1.181616e+01
"4","5",<-1.181616e+01,"2000","ANA",23,1,"benthic micro-invertivore", 77.874,0.23000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.910850,0.5020030,-0.9053088925,-1.181616e+01
"5","6",  1.293784e-01,"2000","ANA",23,0,"planktivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.088211,0.4589455, 8.2175890789, 1.293784e-01
"6","7", -2.133715e+00,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468, 6.7382935497,-2.133715e+00
"7","8",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468,-2.9441498757,-1.181616e+01
"8","9",  1.615896e+00,"2000","ANA",23,0,"herbivore", 28.400,0.41000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -5.721547,0.4769253, 7.3374434269, 1.615896e+00
"9","10",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468,-2.9441498757,-1.181616e+01
"10","11", -6.813837e+00,"2000","ANA",23,0,"benthic macro-invertivore", 94.400,0.31200,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.953208,0.4647263, 5.1393710686,-6.813837e+00
"11","12", -1.069656e+00,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468, 7.8023525017,-1.069656e+00
"12","13", -2.863828e+00,"2000","ANA",23,0,"benthic micro-invertivore", 21.310,0.52000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.902382,0.4517530, 7.0385543055,-2.863828e+00
"13","15",  7.200274e-01,"2000","ANA",23,0,"herbivore", 28.400,0.70000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.530730,0.4764845, 8.2507574619, 7.200274e-01
"14","16", -2.189465e+00,"2000","ANA",23,0,"planktivore", 21.310,0.52000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.118584,0.4626818, 6.9291187058,-2.189465e+00
"15","17",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 18.400,0.31968,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.469693,0.4529793,-3.3464656356,-1.181616e+01
"16","20",  8.186324e-01,"2000","ANA",23,1,"piscivore", 69.800,0.06000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.385982,0.4841921,12.2046141341, 8.186324e-01
"17","21",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 20.200,0.42500,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.239922,0.4495647,-2.5762365766,-1.181616e+01
"18","22",<-1.181616e+01,"2000","ANA",23,0,"benthic macro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.624571,0.4613644,-4.1915878106,-1.181616e+01
"19","23", -4.757672e+00,"2000","ANA",23,0,"benthic macro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.624571,0.4613644, 2.8668986428,-4.757672e+00
"20","24",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 28.345,0.29500,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.245362,0.4817616,-1.5707969023,-1.181616e+01
"21","25",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 20.700,0.24500,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.452717,0.4818411,-2.3634411490,-1.181616e+01
"22","26",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 54.400,0.26000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.665345,0.4821345,-0.1508132379,-1.181616e+01
"23","27", -6.361875e+00,"2000","ANA",23,1,"planktivore", 36.480,0.17500,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.181084,0.4962050, 0.8192095311,-6.361875e+00
"24","28", -3.440533e+00,"2000","ANA",23,1,"benthic macro-invertivore", 33.220,0.24300,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -6.936678,0.4958831, 3.4961446922,-3.440533e+00
"25","29",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 30.600,0.23300,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.000365,0.4806962,-1.8157938171,-1.181616e+01
"26","30",<-1.181616e+01,"2000","ANA",23,0,"planktivore", 19.900,0.50000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.905152,0.4613985,-2.9110062278,-1.181616e+01
"27","32", -7.941828e+00,"2000","ANA",23,0,"benthic micro-invertivore", 12.870,0.63000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.057918,0.4586439, 2.1160904649,-7.941828e+00
"28","33",<-1.181616e+01,"2000","ANA",23,0,"benthic macro-invertivore",178.900,0.07725,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-15.802049,0.5088194, 3.9858906246,-1.181616e+01
"29","34",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 12.870,0.63000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.057918,0.4586439,-1.7582402345,-1.181616e+01
"30","35",<-1.181616e+01,"2000","ANA",23,1,"benthic micro-invertivore", 77.874,0.23000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.910850,0.5020030,-0.9053088925,-1.181616e+01
"31","36", -1.459345e-01,"2000","ANA",23,0,"planktivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.088211,0.4589455, 7.9422762448,-1.459345e-01
"32","37", -2.479993e+00,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468, 6.3920156584,-2.479993e+00
"33","38",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468,-2.9441498757,-1.181616e+01
"34","39", -8.642051e-01,"2000","ANA",23,0,"herbivore", 28.400,0.41000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -5.721547,0.4769253, 4.8573418579,-8.642051e-01
"35","40",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468,-2.9441498757,-1.181616e+01
"36","41", -7.348180e+00,"2000","ANA",23,0,"benthic macro-invertivore", 94.400,0.31200,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.953208,0.4647263, 4.6050281330,-7.348180e+00
"37","42", -1.880984e+00,"2000","ANA",23,0,"benthic micro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.872009,0.4510468, 6.9910247911,-1.880984e+00
"38","43", -4.076664e+00,"2000","ANA",23,0,"benthic micro-invertivore", 21.310,0.52000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.902382,0.4517530, 5.8257177021,-4.076664e+00
"39","45", -4.068229e+00,"2000","ANA",23,0,"herbivore", 28.400,0.70000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.530730,0.4764845, 3.4625011334,-4.068229e+00
"40","46", -2.950569e+00,"2000","ANA",23,0,"planktivore", 21.310,0.52000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.118584,0.4626818, 6.1680149671,-2.950569e+00
"41","47",<-1.181616e+01,"2000","ANA",23,0,"benthic micro-invertivore", 18.400,0.31968,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.469693,0.4529793,-3.3464656356,-1.181616e+01
"42","50", -3.087738e-01,"2000","ANA",23,1,"piscivore", 69.800,0.06000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-11.385982,0.4841921,11.0772080057,-3.087738e-01
"43","51",<-1.181616e+01,"2000","ANA",23,0,"benthic macro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.624571,0.4613644,-4.1915878106,-1.181616e+01
"44","52", -3.305822e+00,"2000","ANA",23,0,"benthic macro-invertivore", 21.790,0.35000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.624571,0.4613644, 4.3187485904,-3.305822e+00
"45","53",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 28.345,0.29500,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.245362,0.4817616,-1.5707969023,-1.181616e+01
"46","54",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 51.400,0.16000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.852850,0.4805278,-0.9633089117,-1.181616e+01
"47","55",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 20.700,0.24500,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -9.452717,0.4818411,-2.3634411490,-1.181616e+01
"48","56", -7.233710e+00,"2000","ANA",23,1,"planktivore", 36.480,0.17500,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -7.181084,0.4962050,-0.0526257607,-7.233710e+00
"49","57", -9.098051e-01,"2000","ANA",23,1,"benthic macro-invertivore", 33.220,0.24300,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -6.936678,0.4958831, 6.0268730138,-9.098051e-01
"50","58",<-1.181616e+01,"2000","ANA",23,1,"piscivore", 30.600,0.23300,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.000365,0.4806962,-1.8157938171,-1.181616e+01
"51","59",<-1.181616e+01,"2000","ANA",23,0,"planktivore", 60.290,0.09350,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.908892,0.4733712,-2.9072665266,-1.181616e+01
"52","60",<-1.181616e+01,"2000","ANA",23,0,"planktivore", 19.900,0.50000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889, -8.905152,0.4613985,-2.9110062278,-1.181616e+01
"53","62", -4.490076e+00,"2000","ANA",23,0,"benthic micro-invertivore", 12.870,0.63000,1,17.73142, 9.463496,17.33889,17.33889,17.33889,17.33889,-10.057918,0.4586439, 5.5678423440,-4.490076e+00
