common_name,month,pounds_caught,year,sci_name,commonname,classcode
kelp greenling,january,0,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,january,0,2e3,medialuna californiensis,halfmoon,mcal
lingcod,january,0,2e3,ophiodon elongatus,lingcod,oelo
opaleye,january,0,2e3,girella nigricans,opaleye,gnig
bat ray,january,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,january,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,january,0,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,january,51,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,january,0,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,january,0,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,january,0,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,january,0,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,january,0,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,january,0,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,january,361879,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,january,377,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,january,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,january,4326,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,january,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,january,4,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,january,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,january,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,january,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,february,0,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,february,0,2e3,medialuna californiensis,halfmoon,mcal
lingcod,february,0,2e3,ophiodon elongatus,lingcod,oelo
opaleye,february,0,2e3,girella nigricans,opaleye,gnig
bat ray,february,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,february,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,february,0,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,february,0,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,february,0,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,february,0,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,february,28,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,february,37,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,february,0,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,february,0,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,february,966738,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,february,97,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,february,21,2e3,heterodontus francisci,horn shark,hfra
california sheephead,february,1010,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,february,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,february,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,february,2,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,february,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,february,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,march,0,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,march,32,2e3,medialuna californiensis,halfmoon,mcal
lingcod,march,84,2e3,ophiodon elongatus,lingcod,oelo
opaleye,march,3,2e3,girella nigricans,opaleye,gnig
bat ray,march,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,march,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,march,19,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,march,26,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,march,17,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,march,278,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,march,271,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,march,1143,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,march,63,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,march,30,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,march,55708,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,march,1931,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,march,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,march,4750,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,march,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,march,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,march,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,march,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,march,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,april,0,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,april,231,2e3,medialuna californiensis,halfmoon,mcal
lingcod,april,0,2e3,ophiodon elongatus,lingcod,oelo
opaleye,april,0,2e3,girella nigricans,opaleye,gnig
bat ray,april,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,april,4,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,april,8,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,april,13,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,april,51,2e3,sebastes auriculatus,brown rockfish,saur
