year,bimonth,enso
1950,decjan,-1.043
1951,decjan,-1.078
1952,decjan,0.421
1953,decjan,0.032
1954,decjan,-0.044
1955,decjan,-0.766
1956,decjan,-1.447
1957,decjan,-0.944
1958,decjan,1.474
1959,decjan,0.549
1960,decjan,-0.297
1961,decjan,-0.167
1962,decjan,-1.082
1963,decjan,-0.73
1964,decjan,0.867
1965,decjan,-0.554
1966,decjan,1.305
1967,decjan,-0.474
1968,decjan,-0.622
1969,decjan,0.664
1970,decjan,0.367
1971,decjan,-1.221
1972,decjan,-0.595
1973,decjan,1.72
1974,decjan,-1.934
1975,decjan,-0.544
1976,decjan,-1.613
1977,decjan,0.516
1978,decjan,0.77
1979,decjan,0.598
1980,decjan,0.678
1981,decjan,-0.254
1982,decjan,-0.268
1983,decjan,2.691
1984,decjan,-0.327
1985,decjan,-0.559
1986,decjan,-0.307
1987,decjan,1.243
1988,decjan,1.116
1989,decjan,-1.128
1990,decjan,0.232
1991,decjan,0.32
1992,decjan,1.749
1993,decjan,0.686
1994,decjan,0.349
1995,decjan,1.216
1996,decjan,-0.63
1997,decjan,-0.489
1998,decjan,2.503
1999,decjan,-1.094
2000,decjan,-1.164
2001,decjan,-0.502
2002,decjan,-0.032
2003,decjan,1.199
2004,decjan,0.322
2005,decjan,0.31
2006,decjan,-0.435
2007,decjan,1.012
2008,decjan,-0.968
2009,decjan,-0.711
2010,decjan,1.152
2011,decjan,-1.645
2012,decjan,-0.995
2013,decjan,0.069
2014,decjan,-0.287
2015,decjan,0.419
2016,decjan,2.202
1950,janfeb,-1.162
1951,janfeb,-1.189
1952,janfeb,0.136
1953,janfeb,0.385
1954,janfeb,-0.032
1955,janfeb,-0.698
1956,janfeb,-1.323
1957,janfeb,-0.364
1958,janfeb,1.442
1959,janfeb,0.788
1960,janfeb,-0.257
1961,janfeb,-0.261
1962,janfeb,-0.988
1963,janfeb,-0.861
1964,janfeb,0.465
1965,janfeb,-0.349
1966,janfeb,1.178
1967,janfeb,-0.924
1968,janfeb,-0.74
1969,janfeb,0.844
1970,janfeb,0.411
1971,janfeb,-1.521
1972,janfeb,-0.422
1973,janfeb,1.497
1974,janfeb,-1.793
1975,janfeb,-0.597
1976,janfeb,-1.394
1977,janfeb,0.271
1978,janfeb,0.893
1979,janfeb,0.361
1980,janfeb,0.589
1981,janfeb,-0.163
1982,janfeb,-0.138
1983,janfeb,2.909
1984,janfeb,-0.533
1985,janfeb,-0.594
1986,janfeb,-0.196
1987,janfeb,1.192
1988,janfeb,0.697
1989,janfeb,-1.271
1990,janfeb,0.555
1991,janfeb,0.313
1992,janfeb,1.864
1993,janfeb,0.979
1994,janfeb,0.197
1995,janfeb,0.961
1996,janfeb,-0.581
1997,janfeb,-0.595
1998,janfeb,2.792
1999,janfeb,-1.176
2000,janfeb,-1.207
2001,janfeb,-0.669
2002,janfeb,-0.176
2003,janfeb,0.937
2004,janfeb,0.356
2005,janfeb,0.81
2006,janfeb,-0.411
2007,janfeb,0.542
2008,janfeb,-1.355
2009,janfeb,-0.677
2010,janfeb,1.521
2011,janfeb,-1.53
2012,janfeb,-0.665
2013,janfeb,-0.119
2014,janfeb,-0.241
2015,janfeb,0.468
2016,janfeb,2.121
1950,febmar,-1.312
1951,febmar,-1.222
1952,febmar,0.063
1953,febmar,0.256
1954,febmar,0.162
1955,febmar,-1.152
1956,febmar,-1.413
1957,febmar,0.134
1958,febmar,1.32
1959,febmar,0.496
1960,febmar,-0.094
1961,febmar,-0.097
1962,febmar,-0.724
1963,febmar,-0.69
1964,febmar,-0.269
1965,febmar,-0.276
1966,febmar,0.678
1967,febmar,-1.068
1968,febmar,-0.629
