# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=100506829
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-33.7134,1,0.25,2,3,0,46.024,-0.72239
-33.7134,0,14.3855,0,1,1,34.9379,-0.72239
-33.7134,0,2.43117,0,1,1,34.0063,-0.72239
-31.6154,1,0.239791,1,1,0,33.4411,-0.53775
-31.4894,1,0.324332,1,1,0,32.6766,-0.524321
-31.4894,0.000193958,0.507206,1,1,0,31.5747,-0.524321
-29.5387,0.999993,0.0404304,5,31,0,31.5066,0.0740061
-29.6309,0.997087,0.0687643,1,3,0,29.6847,0.104452
-29.6397,0.999783,0.121753,2,3,0,29.6568,0.10707
-29.8049,0.900162,0.223983,2,3,0,30.5722,0.150316
-32.0304,0.584823,0.305832,2,3,0,32.2023,0.455087
-30.7889,0.996726,0.155604,2,5,0,32.0107,-0.441057
-30.9887,0.917877,0.292765,1,1,0,31.5907,-0.466562
-30.1678,1,0.430331,1,1,0,30.2378,0.22316
-30.1678,2.38458e-16,0.816835,1,2,1,30.397,0.22316
-29.8133,0.998937,0.0695832,4,15,0,30.4487,-0.276717
-29.4042,0.98557,0.132827,1,3,0,30.0903,-0.133743
-29.9128,0.858753,0.241722,1,3,0,30.1594,0.174317
-29.9128,0.464648,0.297293,1,1,0,31.0655,0.174317
-30.0503,0.997158,0.111588,2,3,0,30.0514,0.20177
-29.396,0.993651,0.208426,1,3,0,29.9887,0.00333573
-29.3554,1,0.381638,1,1,0,29.3735,-0.0466764
-29.3828,0.315612,0.705129,1,3,0,29.4237,-0.116852
-29.3579,0.994641,0.176451,1,3,0,29.4365,-0.0399662
-29.3652,0.808534,0.32003,2,3,0,29.684,-0.0971461
-29.521,0.914963,0.337711,1,1,0,29.5334,-0.191794
-29.521,0.351819,0.481419,1,1,0,30.0555,-0.191794
-29.6491,0.966815,0.140286,2,3,0,30.0075,-0.234271
-29.3576,1,0.231437,1,3,0,29.6029,-0.083636
-29.3576,3.7601e-08,0.414986,1,1,0,34.9918,-0.083636
-29.3566,0.999995,0.0476493,1,3,0,29.3584,-0.0812431
-29.5358,0.990711,0.0857323,2,7,0,29.802,0.0729601
-29.3538,0.986865,0.148997,1,3,0,29.7246,-0.0534002
-29.9044,0.658465,0.254,2,3,0,31.3755,0.172532
-29.7479,1,0.179774,1,1,0,29.9036,0.136451
-29.9716,0.934187,0.314038,2,3,0,30.1651,0.186443
-30.1417,0.83661,0.457957,1,1,0,30.1502,-0.342988
-30.1417,0.0759748,0.515696,1,1,0,30.1475,-0.342988
-29.3771,0.99548,0.0821586,2,5,0,30.4819,-0.0131594
-29.6143,0.926135,0.140251,2,5,0,30.4276,-0.223836
-29.4488,1,0.199258,1,1,0,29.5814,-0.160055
-29.3557,1,0.338964,1,3,0,29.3953,-0.0457441
-29.7676,0.509475,0.57207,1,1,0,30.1189,0.141354
-29.4628,1,0.28461,1,1,0,29.6711,0.0425348
-29.625,0.831221,0.477228,1,1,0,29.8437,0.102677
-29.576,0.410958,0.526219,1,3,0,29.5939,-0.211529
-29.6888,0.889589,0.209345,2,7,0,30.4144,0.120991
-29.672,1,0.266734,1,1,0,29.794,0.116352
-29.672,0.050036,0.440915,1,1,0,30.113,0.116352
-30.4869,0.98808,0.0759735,3,7,0,30.487,0.274423
-30.4034,1,0.122279,1,1,0,30.5282,0.261797
-29.8521,1,0.201078,1,1,0,30.3033,0.161127
-30.142,0.855132,0.328466,1,1,0,30.4217,0.21861
-30.6188,0.854646,0.381421,1,3,0,30.6673,-0.417911
-30.898,0.761624,0.441527,1,1,0,30.8988,0.330746
-29.3538,1,0.412549,1,1,0,29.8226,-0.0530083
-29.3538,8.89761e-09,0.662339,1,1,0,30.2519,-0.0530083
-29.3695,0.997965,0.111005,1,3,0,29.3979,-0.0215449
-29.3546,0.997653,0.177765,1,3,0,29.3929,-0.0747466
-29.3753,0.991729,0.282827,1,1,0,29.3754,-0.109459
-29.3753,0.587922,0.441613,1,1,0,29.4709,-0.109459
-29.3753,0.301649,0.2821,1,3,0,33.3184,-0.109459
-29.3836,0.99932,0.0968431,2,3,0,29.3947,-0.117565
-29.4928,0.957698,0.153441,1,3,0,29.9436,0.0559774
-29.9016,0.958045,0.220999,2,7,0,29.9021,-0.296397
-29.9016,0.177435,0.317191,1,1,0,31.8904,-0.296397
-30.1065,0.97651,0.0854412,3,7,0,31.2892,-0.336648
-29.9918,1,0.127673,1,1,0,30.1134,-0.314904
-29.9918,0.839939,0.199589,1,1,0,30.6971,-0.314904
-29.9789,1,0.221734,1,1,0,30.1393,-0.312347
-30.3308,0.812088,0.34387,1,1,0,30.7303,-0.374845
-30.8397,0.417395,0.359002,2,3,0,31.5378,-0.447702
-30.8397,0.952303,0.165506,1,1,0,31.2471,-0.447702
-31.0232,0.952038,0.231352,1,1,0,31.381,-0.470807
-31.2497,0.96305,0.322072,2,3,0,31.8004,0.373177
-31.2497,8.02466e-05,0.456952,1,1,0,32.0298,0.373177
-30.5542,1,0.0916925,2,3,0,31.2673,0.28427
-29.371,1,0.140528,3,7,0,30.4955,-0.104701
-29.3568,0.998862,0.214438,2,3,0,29.3806,-0.0816834
-29.354,1,0.325094,1,1,0,29.3559,-0.0721526
-29.354,0.367922,0.491927,1,1,0,29.5419,-0.0721526
-29.3707,0.959317,0.212344,2,3,0,29.6322,-0.0201806
-29.353,0.93807,0.29597,2,3,0,29.4998,-0.0647018
-29.3552,0.998311,0.394434,1,1,0,29.3553,-0.0472785
-29.3552,0.394136,0.589542,1,1,0,29.4592,-0.0472785
-31.3785,0.586643,0.271716,1,3,0,31.4498,0.387718
-29.4007,1,0.182944,2,3,0,31.1707,0.00683578
-29.4007,0.711034,0.273721,1,3,0,30.3742,0.00683578
-29.5068,0.959682,0.23465,1,3,0,29.6481,-0.186198
-29.4903,1,0.323527,2,3,0,29.5193,0.0549174
-29.9622,0.58031,0.48012,1,1,0,30.3811,0.184537
-32.0088,0.347474,0.321324,1,1,0,32.3457,0.452992
-30.2576,0.995116,0.139272,2,3,0,32.177,0.238474
-29.5611,0.963275,0.204455,2,3,0,30.6267,0.0819959
-29.3637,1,0.28189,1,1,0,29.4827,-0.0294345
-29.3637,0.203115,0.41491,1,1,0,29.9652,-0.0294345
-29.6364,0.959259,0.139504,1,3,0,29.9076,0.106086
-30.1902,0.952187,0.190416,3,7,0,30.1921,0.227055
-30.342,0.951517,0.25588,1,1,0,30.5917,0.252177
-29.5843,0.981828,0.342569,1,3,0,29.9375,-0.214289
